Step2.tibble_sample_id,Step2.tibble_Hash,Step2.tibble_nReads
kbt922s311,a41445da40af99ae213ca46e8cbf3479,3744
kbt922s321,a41445da40af99ae213ca46e8cbf3479,2758
kbt922s331,a41445da40af99ae213ca46e8cbf3479,4756
kbt922s332,a41445da40af99ae213ca46e8cbf3479,101
kbw422s111,a41445da40af99ae213ca46e8cbf3479,1156
kbw422s112,a41445da40af99ae213ca46e8cbf3479,4282
kbw422s113,a41445da40af99ae213ca46e8cbf3479,5363
kbw422s141,a41445da40af99ae213ca46e8cbf3479,19243
kbw922s321,a41445da40af99ae213ca46e8cbf3479,2296
kbw922s332,a41445da40af99ae213ca46e8cbf3479,1134
kbw922s341,a41445da40af99ae213ca46e8cbf3479,178
kbw922s342,a41445da40af99ae213ca46e8cbf3479,2744
lcc422s111,a41445da40af99ae213ca46e8cbf3479,712
lcc422s112,a41445da40af99ae213ca46e8cbf3479,2677
lcc422s131,a41445da40af99ae213ca46e8cbf3479,216
lce422s131,a41445da40af99ae213ca46e8cbf3479,4880
lce422s312,a41445da40af99ae213ca46e8cbf3479,631
lce422s512,a41445da40af99ae213ca46e8cbf3479,7468
lce422s513,a41445da40af99ae213ca46e8cbf3479,107
lcm422s111,a41445da40af99ae213ca46e8cbf3479,568
lcm422s112,a41445da40af99ae213ca46e8cbf3479,6281
lcm422s113,a41445da40af99ae213ca46e8cbf3479,469
lcm422s131,a41445da40af99ae213ca46e8cbf3479,4107
lcm422s141,a41445da40af99ae213ca46e8cbf3479,7368
lcm422s312,a41445da40af99ae213ca46e8cbf3479,3282
lcm422s313,a41445da40af99ae213ca46e8cbf3479,6800
lcm422s321,a41445da40af99ae213ca46e8cbf3479,5610
lcm422s331,a41445da40af99ae213ca46e8cbf3479,2705
lcm422s341,a41445da40af99ae213ca46e8cbf3479,2799
lcm422s511,a41445da40af99ae213ca46e8cbf3479,10344
lcm422s512,a41445da40af99ae213ca46e8cbf3479,12745
lcm422s513,a41445da40af99ae213ca46e8cbf3479,6700
lcm422s521,a41445da40af99ae213ca46e8cbf3479,12914
lcm422s541,a41445da40af99ae213ca46e8cbf3479,12305
lcm422s542,a41445da40af99ae213ca46e8cbf3479,5238
lcs422s111,a41445da40af99ae213ca46e8cbf3479,2152
lcs422s112,a41445da40af99ae213ca46e8cbf3479,5373
lcs422s113,a41445da40af99ae213ca46e8cbf3479,410
lcs422s131,a41445da40af99ae213ca46e8cbf3479,9911
lcs422s311,a41445da40af99ae213ca46e8cbf3479,530
lcs422s312,a41445da40af99ae213ca46e8cbf3479,2136
lcs422s313,a41445da40af99ae213ca46e8cbf3479,4060
lcs422s321,a41445da40af99ae213ca46e8cbf3479,17060
lcs422s341,a41445da40af99ae213ca46e8cbf3479,2184
